they | they | person:Pronoun | arrested | arrest | Michael Stewart | Michael Stewart | person:Stanford
guidelines | guideline |  | requiring that | require that | a certain percentage of programming fall | fall | time_period:WordNet
John Summers | John Summers | person:Stanford | be senior executive vice president of | be executive vice president of | the National Association of Broadcasters | National Association | organization:Stanford
repeal of comparative renewal | repeal |  | would be top legislative priority of | be priority of | the organization | organization | organization:WordNet
repeal of comparative renewal | repeal |  | would be | be | the organization 's top legislative priority | priority | 
Mr. Swift and others | Mr. Swift | person:Stanford | be involved in | be involve in | the effort | effort | activity:WordNet
Andrew Schwartzman | Andrew Schwartzman | person:Stanford | be executive director of | be director of | the Media Access Project | Media Access Project | organization:Stanford
Others | Others |  | want | want | concessions | concession | 
it | it |  | is | be | the Year of the Waiter | Waiter | 
it | it |  | is the Year of | be Year of | the Waiter | Waiter | 
The chef and co-owner of the Inn | co-owner |  | is on | be on | a crusade to accord the people in the front of the house the same respect | respect | 
the chef | chef | person:WordNet | was | be | eight or nine years | year | time_period:WordNet
it | it |  | is | be | a job | job | activity:WordNet
Gary Penn | Gary Penn | person:Stanford | be owner of | be owner of | the Professional Waiters School | Professional Waiters School | organization:Stanford
it | it |  | 's | be | a service job | job | activity:WordNet
Mr. O'Connell | Mr. O'Connell | person:Stanford | wants to change | want to change | that perception | perception | 
Mr. O'Connell and the Society for American Cuisine , a group of restaurateurs , chefs and suppliers , plan to improve the status of waiters . Putting his money where his mouth is , Mr. O'Connell | money |  | has made | make | changes | change | 
his work | work | activity:WordNet | cut out for | cut out for | him | he | person:Pronoun
The French Culinary Institute | French Culinary Institute | organization:Stanford | offered | offer | a course | course | activity:WordNet
The French Culinary Institute | French Culinary Institute | organization:Stanford | offered a course in | offer course in | last year | year | time_period:WordNet
Three people | people | person:People | signed up for | sign up for | it | it | 
The course | course | activity:WordNet | was however | be | not a total loss | loss | 
restaurant owners | owner | person:WordNet | looking for | look for | professional waiters | waiter | person:WordNet
the institute | institute | organization:WordNet | to supply | to supply | them | they | person:Pronoun
they | they | person:Pronoun | signed | sign | contracts to have their staffs | contract | 
their staffs | staff | organization:WordNet | be trained by | be train by | the school | school | organization:WordNet
The situation | situation |  | is advanced in | be advance in | Los Angeles | Los Angeles | location:Stanford
The situation | situation |  | is advanced with | be advance with | the first clone opening | opening | location:WordNet
Mr. Penn 's school | school | organization:WordNet | has been in | be in | operation | operation | 
Mr. Penn 's school | school | organization:WordNet | has been for | be for | four | four | number:NUM
it | it |  | will begin franchising | begin franchise | the concept | concept | 
Mr. Penn | Mr. Penn | person:Stanford | decided | decide | a need | need | 
you | you | person:Pronoun | see | see | the level of incompetence | level | 
experienced waiters | waiter | person:WordNet | must train for | train for | four weeks | week | time_period:WordNet
the second week | week | time_period:WordNet | is devoted during | be devote during | the last two weeks | week | time_period:WordNet
the probationer | probationer | person:WordNet | works that time as | work time as | a waiter | waiter | person:WordNet
the probationer | probationer | person:WordNet | works | work | that time | time | 
Paul Kovi | Paul Kovi | person:Stanford | be co-owner of | be co-owner of | the Four Seasons | Seasons | 
The Inn | Inn |  | has instituted | institute | similar procedures | procedure | activity:WordNet
We | We | person:Pronoun | no longer hire here | hire | anyone | anyone | 
We | We | person:Pronoun | no longer hire anyone here as | hire anyone as | a full-fledged waiter | waiter | person:WordNet
We | We | person:Pronoun | hire | hire | them | they | person:Pronoun
We | We | person:Pronoun | hire them as | hire as | apprentices | apprentice | person:WordNet
It | It |  | creates | create | tremendous incentive | incentive | 
The quick studies | study | activity:WordNet | can become | become | waiters | waiter | person:WordNet
The quick studies | study | activity:WordNet | can become waiters in | become waiter in | two or three weeks | week | time_period:WordNet
The restaurant | restaurant | structure:WordNet,building:WordNet | is providing as well | be provide | health insurance | insurance | 
The restaurant | restaurant | structure:WordNet,building:WordNet | is providing health insurance as well for | be provide health insurance for | the staff | staff | organization:WordNet
the system | system |  | creates | create | stages of advancement | advancement | 
the practice tipping lowers a waiter 's self-esteem | self-esteem |  | plans to eliminate | plan to eliminate | it | it | 
he | he | person:Pronoun | plans to eliminate | plan to eliminate | it | it | 
they | they | person:Pronoun | are being paid through | be be pay through | the kindness and discretion of anonymous strangers | discretion | 
Mr. O'Connell | Mr. O'Connell | person:Stanford | hopes to banish | hope to banish | tipping | tipping | 
Mr. O'Connell | Mr. O'Connell | person:Stanford | hopes replace | hope replace | it | it | 
Mr. O'Connell | Mr. O'Connell | person:Stanford | hopes replace it with | hope replace with | a 15 percent service charge | charge | activity:WordNet
Mr. O'Connell | Mr. O'Connell | person:Stanford | replace it with | replace with | a 15 percent service charge | charge | activity:WordNet
The staff | staff | organization:WordNet | is looking forward to | be look to | it | it | 
we | we | person:Pronoun | have to feel out | to feel out | our clientele | clientele | 
Michael McCarty , the owner of Michael 's in Santa Monica , and Barry and Susan Wine | owner | person:WordNet | own the Casual Quilted Giraffe in | own Quilted Giraffe in | New York | New York | location:Stanford
Michael McCarty , the owner of Michael 's in Santa Monica , and Barry and Susan Wine | owner | person:WordNet | own the Quilted Giraffe in | own Quilted Giraffe in | New York | New York | location:Stanford
